codepoint,base_unicode,joining_group,char_class,label
1542,؆,NO_JOIN,symbol,1542_symbol
1543,؇,NO_JOIN,symbol,1543_symbol
1544,؈,NO_JOIN,symbol,1544_symbol
1545,؉,NO_JOIN,punctuation,1545_punctuation
1546,؊,NO_JOIN,punctuation,1546_punctuation
1547,؋,NO_JOIN,symbol,1547_symbol
1548,،,NO_JOIN,punctuation,1548_punctuation
1549,؍,NO_JOIN,punctuation,1549_punctuation
1550,؎,NO_JOIN,symbol,1550_symbol
1551,؏,NO_JOIN,symbol,1551_symbol
1552,ؐ,NO_JOIN,diacritic,1552_diacritic
1553,ؑ,NO_JOIN,diacritic,1553_diacritic
1554,ؒ,NO_JOIN,diacritic,1554_diacritic
1555,ؓ,NO_JOIN,diacritic,1555_diacritic
1556,ؔ,NO_JOIN,diacritic,1556_diacritic
1557,ؕ,NO_JOIN,diacritic,1557_diacritic
1558,ؖ,NO_JOIN,diacritic,1558_diacritic
1559,ؗ,NO_JOIN,diacritic,1559_diacritic
1560,ؘ,NO_JOIN,diacritic,1560_diacritic
1561,ؙ,NO_JOIN,diacritic,1561_diacritic
1562,ؚ,NO_JOIN,diacritic,1562_diacritic
1563,؛,NO_JOIN,punctuation,1563_punctuation
1565,؝,NO_JOIN,punctuation,1565_punctuation
1566,؞,NO_JOIN,punctuation,1566_punctuation
1567,؟,NO_JOIN,punctuation,1567_punctuation
1568,ؠ,KASHMIRI YEH,isol,1568_isol
1568,ؠ,KASHMIRI YEH,init,1568_init
1568,ؠ,KASHMIRI YEH,medi,1568_medi
1568,ؠ,KASHMIRI YEH,final,1568_final
1569,ء,NO_JOIN,isol,1569_isol
1570,آ,ALEF,isol,1570_isol
1571,أ,ALEF,isol,1571_isol
1572,ؤ,WAW,isol,1572_isol
1573,إ,ALEF,isol,1573_isol
1574,ئ,YEH,isol,1574_isol
1575,ا,ALEF,isol,1575_isol
1576,ب,BEH,isol,1576_isol
1577,ة,TEH MARBUTA,isol,1577_isol
1578,ت,BEH,isol,1578_isol
